Attendance,Grades,Homework Streak,Feedback Behavior,Weekly Test Scores,Attention Test Scores,Ragging,Finance Issue,Mental Health Issue,Physical Health Issue,Discrimination Based on Gender,Physical Disability,Risk Status
52,75,0,1,12,44,0,1,0,0,1,1,1
84,86,0,4,53,86,1,0,1,1,0,0,1
85,60,1,1,68,92,0,0,0,1,1,0,1
80,24,1,5,48,44,0,1,0,1,0,1,1
53,52,1,2,70,51,0,1,0,1,0,1,1
68,53,1,5,44,28,0,1,1,1,1,1,1
96,98,0,1,77,35,0,1,0,1,0,0,1
85,46,1,1,55,6,0,0,1,1,0,1,1
70,33,0,3,95,41,0,1,0,1,0,1,1
67,13,0,3,30,38,1,1,0,1,0,1,1
77,97,1,1,71,44,1,1,0,0,0,0,1
64,71,1,1,59,51,1,1,1,1,0,1,1
91,12,0,4,22,36,0,1,0,1,1,1,1
51,73,0,5,18,0,1,0,1,1,0,0,1
86,46,0,4,73,64,0,1,1,0,0,0,1
60,29,0,3,27,57,1,0,0,1,1,0,1
72,12,0,3,18,15,0,0,0,0,1,1,1
93,55,0,4,99,4,0,0,0,1,1,1,1
90,48,0,3,22,47,1,0,0,1,0,0,1
61,35,0,4,82,58,0,0,0,0,0,0,0
52,34,1,2,44,94,0,1,0,1,1,0,1
66,58,0,1,49,31,0,0,1,0,1,1,1
82,60,1,5,5,19,0,0,0,1,0,1,1
50,1,1,5,51,50,1,0,1,0,1,0,1
88,17,0,5,48,97,0,0,1,1,0,0,1
69,43,0,3,27,83,0,1,1,0,1,1,1
96,55,1,3,2,21,0,1,0,0,0,1,1
92,9,1,2,78,94,1,0,1,0,0,1,1
90,55,0,2,48,93,1,0,1,1,0,0,1
63,16,1,3,89,90,1,1,1,1,1,0,1
80,67,1,1,65,96,0,0,1,0,1,0,1
74,41,1,3,31,80,1,0,1,0,1,1,1
52,86,1,4,99,15,1,0,0,1,0,0,1
53,47,0,3,21,15,1,0,1,1,0,1,1
80,84,0,1,96,6,1,1,1,0,0,0,1
84,88,0,3,71,30,0,0,1,1,1,0,1
93,97,0,3,46,59,1,1,1,1,1,0,1
63,58,1,3,57,47,1,1,1,1,0,1,1
98,84,1,2,74,20,0,0,0,0,1,1,0
90,85,1,3,9,93,0,1,0,0,1,1,1
58,36,1,4,48,21,0,0,0,1,1,0,1
69,12,0,4,54,60,1,1,0,1,1,0,1
81,26,0,5,27,31,0,0,1,1,0,1,1
58,2,1,2,32,67,1,1,1,1,1,1,1
76,22,0,1,14,3,0,0,1,0,0,0,1
52,46,0,4,97,4,0,1,0,0,0,0,1
53,83,1,2,7,20,1,1,1,1,1,0,1
94,18,0,1,37,61,0,1,0,0,1,0,1
64,34,0,4,15,66,1,1,0,0,0,1,1
82,95,0,1,99,11,0,0,0,0,1,1,0
54,67,0,2,82,12,1,1,0,1,1,0,1
53,0,0,5,77,37,0,0,0,0,0,0,1
95,27,1,5,98,8,0,0,1,0,1,0,1
61,48,0,2,15,86,1,0,1,1,1,0,1
72,86,0,2,87,43,1,0,0,0,0,1,1
63,3,0,5,31,40,0,0,0,1,1,0,1
95,96,1,3,42,55,1,0,0,0,0,1,1
61,11,1,3,51,12,0,1,0,1,1,0,1
66,88,1,3,15,90,1,1,1,1,0,0,1
74,28,0,1,58,90,1,0,1,0,1,1,1
79,40,1,3,38,81,0,0,0,0,1,0,0
71,73,0,5,35,39,0,0,1,1,0,1,1
96,2,0,3,10,55,0,0,1,0,0,0,1
75,78,1,4,41,3,0,1,0,0,0,1,1
66,59,0,5,87,5,1,0,0,0,1,0,1
69,10,0,5,67,23,0,1,0,1,0,1,1
83,4,0,3,45,48,1,1,1,0,0,0,1
90,73,1,5,99,45,1,0,1,0,1,1,1
82,90,1,4,41,41,1,1,0,0,0,1,1
86,8,1,1,2,42,0,0,0,0,0,0,1
56,37,0,2,60,51,1,1,0,1,0,0,1
71,98,1,2,18,46,1,0,1,0,1,1,1
81,91,0,4,99,53,0,1,1,1,0,1,1
63,58,1,4,77,74,0,0,1,0,1,0,1
57,58,1,2,27,68,1,1,0,1,0,1,1
74,49,1,2,64,87,1,1,0,1,0,0,1
65,19,1,5,23,80,1,0,1,1,1,1,1
91,35,0,2,22,61,0,1,0,0,1,0,1
68,36,0,1,79,13,0,0,1,1,0,1,1
90,74,1,5,22,44,1,0,1,1,1,0,1
65,49,1,3,61,47,1,1,0,0,0,0,1
61,18,1,2,13,3,0,0,0,1,0,0,1
88,4,0,4,82,90,1,1,1,1,1,0,1
97,88,1,1,24,34,0,0,1,1,0,0,1
79,79,1,5,96,44,1,1,1,1,1,0,1
51,49,1,1,37,2,0,1,0,1,1,1,1
81,94,1,3,93,77,0,0,0,1,0,1,1
94,13,1,5,92,86,1,1,0,0,1,0,1
74,51,1,2,89,12,1,1,1,1,0,1,1
74,16,1,3,69,9,1,1,1,1,0,0,1
53,55,0,4,39,80,1,0,1,1,0,1,1
68,75,0,1,60,3,1,1,1,1,1,0,1
97,61,1,1,62,64,0,1,1,0,1,0,1
53,98,1,1,47,57,0,1,0,0,0,0,1
92,17,1,5,80,12,1,0,0,0,0,0,1
62,70,1,1,35,34,1,0,0,1,0,1,1
88,24,0,1,92,60,0,0,0,0,1,1,1
85,93,1,2,7,0,1,1,1,0,1,0,1
72,93,1,2,2,21,1,1,0,0,1,0,1
55,66,1,2,88,28,1,0,1,1,1,1,1
73,75,1,2,95,65,0,0,0,0,0,1,0
93,46,0,2,9,26,1,1,1,0,0,1,1
82,40,1,3,43,64,0,0,1,0,0,0,1
61,81,0,3,49,85,0,0,1,0,0,0,1
90,39,1,1,40,22,1,0,0,0,1,1,1
70,9,0,2,56,34,0,0,1,1,1,0,1
60,26,0,1,85,97,0,0,0,0,1,1,1
93,20,0,3,52,89,1,0,0,1,0,1,1
87,57,1,1,66,71,0,0,1,0,0,1,1
78,68,0,4,93,11,1,1,0,0,1,0,1
97,66,0,5,20,85,0,0,0,0,1,0,0
90,52,0,3,51,86,0,1,1,0,1,1,1
52,39,0,3,62,7,1,0,1,1,0,1,1
77,83,0,4,98,33,0,1,0,0,1,1,1
69,63,0,5,78,27,1,1,1,0,1,1,1
75,7,1,2,44,57,0,1,0,0,0,0,1
73,31,0,5,4,71,1,0,0,0,1,0,1
96,96,0,4,28,70,0,0,1,1,1,0,1
70,68,0,5,99,25,0,0,1,1,1,1,1
79,27,1,4,34,3,0,0,0,1,0,1,1
53,24,1,4,51,8,1,1,1,0,0,1,1
85,55,0,2,68,45,0,0,0,1,1,0,1
89,8,0,2,21,78,0,0,1,0,0,1,1
59,44,0,5,33,82,1,0,1,0,0,1,1
59,53,0,2,79,59,0,1,1,1,1,1,1
91,90,0,3,81,71,1,0,0,0,0,0,1
73,38,0,5,34,63,0,1,1,0,0,0,1
53,27,0,1,34,18,1,0,1,1,0,0,1
96,98,1,5,86,19,0,1,1,1,1,0,1
76,43,0,3,76,38,0,0,0,1,0,1,1
94,76,1,1,90,30,1,1,0,0,0,1,1
53,8,1,5,32,14,0,1,0,0,0,1,1
81,40,0,4,2,15,0,1,0,1,1,1,1
59,32,0,4,32,68,0,0,1,1,1,1,1
60,64,0,1,33,94,1,0,0,1,0,0,1
77,81,0,1,9,98,0,1,1,1,0,0,1
95,76,1,2,71,11,1,0,1,0,1,1,1
57,16,1,5,23,81,0,0,0,1,1,1,1
89,75,0,3,71,73,1,1,1,0,1,1,1
71,79,1,1,11,33,0,0,0,0,1,0,0
83,92,1,1,86,77,1,1,1,0,0,1,1
94,51,0,2,35,37,0,1,1,0,0,0,1
84,64,1,5,24,81,0,1,1,1,1,0,1
84,92,0,2,73,36,0,1,1,1,1,1,1
74,36,1,1,85,29,0,1,1,1,0,1,1
83,60,0,4,46,50,0,1,1,0,0,1,1
55,18,0,1,23,43,0,1,1,0,0,0,1
90,81,1,2,43,24,1,1,1,0,1,0,1
86,25,1,3,23,58,0,0,1,1,0,0,1
50,40,0,5,88,1,0,1,0,1,0,1,1
61,25,0,2,6,99,0,0,0,1,0,1,1
84,4,0,3,20,55,1,0,1,1,0,0,1
55,10,0,4,46,60,1,0,0,1,1,1,1
66,97,0,3,32,48,1,0,1,1,1,0,1
58,86,0,3,42,43,1,0,1,1,0,1,1
51,97,1,5,19,50,0,0,1,0,1,0,1
67,82,1,5,64,97,0,1,0,0,0,1,1
98,35,1,3,62,34,0,0,1,1,0,1,1
85,84,1,2,4,95,1,0,0,0,0,0,1
77,5,0,1,85,70,0,0,1,1,1,1,1
90,58,1,1,56,92,0,0,1,1,1,1,1
86,99,1,2,31,44,0,1,0,1,1,1,1
98,47,1,4,48,77,1,0,0,1,0,1,1
75,77,0,2,71,45,0,0,0,1,1,1,1
53,30,0,1,49,85,0,1,0,1,0,0,1
89,11,1,5,12,57,1,0,0,1,0,1,1
85,8,0,5,17,84,0,1,0,0,0,1,1
80,26,1,5,29,82,1,1,1,0,0,0,1
79,95,0,5,51,63,0,1,0,1,0,1,1
99,90,1,5,3,87,1,0,0,0,1,1,1
83,50,1,3,30,4,1,0,1,1,0,1,1
68,19,1,4,90,91,0,1,1,0,0,1,1
67,55,0,5,45,24,1,0,0,1,1,1,1
79,31,1,4,23,12,1,0,1,0,0,1,1
70,70,0,4,97,29,1,1,0,0,1,0,1
52,51,0,3,81,92,0,1,0,1,1,0,1
55,37,0,4,18,22,0,0,0,0,0,0,0
87,11,1,2,93,73,0,0,0,1,0,0,1
62,79,0,1,66,18,1,1,1,0,0,1,1
94,44,1,5,20,34,0,1,0,0,1,1,1
52,53,0,5,48,15,1,1,1,1,1,0,1
97,4,0,5,21,90,0,0,1,1,0,1,1
77,99,1,3,62,11,1,0,0,0,0,1,1
71,17,0,1,29,17,0,1,0,0,0,0,1
89,25,1,5,68,28,1,0,1,1,1,0,1
89,54,1,1,41,45,0,1,0,0,0,0,1
61,76,1,2,61,19,0,0,0,1,0,0,1
72,0,0,2,30,80,0,0,0,0,0,1,1
80,96,1,5,2,18,1,1,0,0,1,0,1
67,70,1,5,8,88,0,0,1,0,1,1,1
56,99,0,2,76,5,0,1,1,0,1,1,1
57,41,1,2,6,58,1,0,0,0,1,1,1
68,83,0,1,42,81,0,0,0,0,0,1,0
78,99,1,2,45,58,1,0,1,0,1,0,1
93,93,1,5,51,46,1,0,0,1,1,0,1
69,87,1,2,89,27,1,0,0,0,0,1,1
99,25,1,1,36,80,1,0,1,1,1,0,1
91,84,0,4,23,85,1,1,1,0,0,0,1
79,44,0,4,0,94,1,1,0,1,1,1,1
96,72,0,1,1,60,0,0,0,0,0,0,0
71,38,1,1,42,1,0,1,0,0,1,0,1
59,86,0,5,26,3,1,0,1,1,0,1,1
75,50,1,2,48,48,1,1,0,1,0,0,1
82,15,0,2,48,63,1,1,1,1,0,1,1
77,4,1,2,72,72,1,0,0,0,0,1,1
59,75,0,2,18,92,0,0,1,0,0,1,1
78,26,1,5,18,14,0,0,1,0,1,0,1
93,75,1,2,13,80,1,0,1,1,0,1,1
67,26,0,5,7,9,1,1,0,1,0,0,1
91,76,0,1,3,54,1,1,1,0,1,0,1
50,28,0,1,20,1,0,0,1,1,0,0,1
72,0,0,4,54,85,1,1,1,0,1,0,1
66,69,1,1,50,7,0,0,0,0,0,0,0
92,57,1,4,66,8,0,1,1,1,0,0,1
86,13,0,3,56,54,1,0,0,0,0,1,1
80,22,1,3,80,25,1,0,1,1,0,1,1
74,88,1,3,78,89,1,0,1,0,1,1,1
53,61,0,3,57,34,1,0,0,0,0,0,1
58,90,0,2,12,73,1,1,1,1,1,0,1
77,62,0,1,40,59,1,1,0,1,0,1,1
79,5,1,2,57,99,0,0,0,0,0,0,1
96,82,0,5,82,24,0,1,0,1,1,0,1
73,44,0,2,19,25,1,1,1,1,0,0,1
82,92,1,3,66,61,0,0,1,1,0,1,1
69,67,1,3,68,65,1,0,1,1,1,0,1
58,23,1,2,87,6,0,0,1,1,0,1,1
57,9,1,4,22,81,0,1,0,1,0,1,1
73,51,0,2,41,90,1,0,1,1,1,0,1
63,5,1,1,60,48,1,1,0,0,0,1,1
67,90,0,5,12,75,1,0,0,1,1,0,1
50,33,1,1,65,70,0,0,1,0,0,1,1
61,1,0,5,18,2,1,0,0,1,0,1,1
78,63,0,5,82,11,0,0,1,1,1,0,1
86,96,0,4,3,99,0,1,1,1,0,0,1
75,84,0,5,63,21,1,1,1,1,1,0,1
82,61,1,2,21,76,1,1,0,1,1,1,1
92,91,0,5,39,82,1,0,1,1,0,0,1
64,76,1,1,8,44,1,1,0,1,1,1,1
72,31,0,1,65,62,0,0,0,1,1,1,1
78,91,0,3,41,87,0,1,1,0,0,0,1
70,58,0,1,32,40,0,0,1,0,0,1,1
68,3,0,4,54,69,0,0,0,1,0,0,1
54,84,0,2,48,87,1,0,1,0,0,1,1
72,10,1,1,18,74,0,1,1,1,0,0,1
85,51,1,4,31,66,0,1,1,1,1,0,1
69,73,1,5,98,45,0,1,0,1,1,0,1
57,69,1,5,51,8,0,0,1,1,0,1,1
58,13,0,3,60,58,0,1,1,0,0,0,1
63,60,0,5,98,94,0,0,1,0,1,0,1
55,81,0,2,15,79,0,1,1,0,1,0,1
50,58,1,1,20,62,0,1,0,0,1,0,1
58,45,0,4,17,54,0,1,0,0,1,1,1
65,25,1,3,39,60,1,1,1,0,0,1,1
65,3,0,5,66,88,0,0,0,0,0,1,1
61,64,1,4,77,64,1,1,0,1,1,0,1
54,78,0,5,62,51,1,0,1,0,1,0,1
89,14,1,1,12,97,0,0,1,1,1,0,1
78,87,0,3,47,85,0,1,0,1,1,1,1
95,70,0,3,34,46,0,1,1,1,0,0,1
76,15,1,5,93,48,1,1,1,0,1,1,1
60,5,0,4,19,48,1,0,1,0,0,1,1
96,54,1,3,48,39,1,0,1,1,1,0,1
99,0,1,1,9,35,0,1,1,1,0,1,1
77,71,1,5,27,93,1,1,1,0,0,1,1
85,61,0,4,69,85,1,1,1,1,0,1,1
91,81,0,3,37,25,0,0,0,1,0,0,1
68,32,1,4,87,37,1,0,0,1,1,0,1
84,58,1,5,62,12,0,0,1,0,0,1,1
80,29,1,5,24,57,1,1,1,0,0,1,1
93,31,1,5,57,21,0,0,1,0,1,0,1
68,79,1,1,10,24,1,1,0,1,1,0,1
95,75,1,1,74,23,0,1,1,0,0,0,1
73,31,1,3,8,34,0,0,0,0,0,1,1
51,18,0,3,3,45,0,0,0,0,0,1,1
56,86,1,4,80,95,1,1,0,1,0,0,1
92,71,0,2,28,68,0,1,1,0,1,0,1
98,99,1,3,53,63,1,1,1,1,1,0,1
80,62,0,1,38,97,0,0,1,1,1,1,1
66,19,1,1,25,70,1,0,0,0,0,0,1
76,69,0,2,36,31,0,0,0,1,1,1,1
85,49,1,2,8,26,1,0,1,1,1,0,1
99,64,1,2,56,56,1,1,1,1,1,0,1
92,1,0,1,94,84,0,0,1,0,0,1,1
59,50,0,4,10,96,0,1,1,1,1,0,1
94,53,0,1,36,70,0,1,0,1,1,0,1
63,60,0,4,85,3,0,0,0,1,0,0,1
56,58,1,3,39,80,0,0,1,1,1,0,1
88,78,1,1,28,50,1,1,1,1,1,1,1
89,57,1,2,49,63,0,0,1,1,0,0,1
58,18,0,4,99,88,1,0,1,0,0,1,1
63,41,1,2,33,6,1,1,0,1,1,0,1
57,6,1,2,43,30,1,0,1,1,0,1,1
66,43,1,1,91,1,0,0,1,0,1,0,1
72,32,0,5,28,97,0,0,0,1,0,1,1
65,75,0,2,65,56,0,0,0,0,1,0,0
75,87,0,5,94,6,0,1,1,1,1,0,1
58,24,1,1,46,24,1,1,0,1,1,0,1
85,50,1,4,30,32,0,1,0,1,0,1,1
56,8,1,5,78,71,0,0,1,1,0,1,1
67,83,0,4,65,2,1,0,1,0,1,1,1
57,2,1,5,32,74,0,1,1,1,1,0,1
70,28,0,2,10,49,0,0,1,1,0,0,1
75,38,1,5,90,65,1,1,1,0,1,1,1
52,46,0,1,13,98,1,1,1,1,0,0,1
66,43,0,2,10,66,1,0,0,0,0,1,1
95,97,0,2,60,95,0,1,1,1,0,1,1
73,13,0,3,61,30,1,0,0,0,1,1,1
74,45,1,1,21,59,1,0,1,0,0,0,1
54,33,0,3,48,34,1,1,1,1,0,0,1
86,10,1,4,87,46,0,0,0,1,1,0,1
94,87,0,4,76,93,1,1,1,1,0,1,1
99,77,1,2,35,74,0,1,0,1,0,0,1
73,30,1,1,93,61,0,0,1,1,1,1,1
80,64,0,5,16,76,0,1,1,0,0,1,1
75,71,1,1,9,25,1,1,1,0,1,1,1
70,67,0,1,12,84,1,0,0,1,0,1,1
83,0,0,5,14,54,1,1,1,1,1,1,1
87,95,1,1,44,8,0,0,0,0,0,1,0
73,8,1,4,13,72,0,1,0,1,0,1,1
77,67,1,1,92,30,1,1,1,0,0,1,1
79,11,0,4,10,73,1,1,0,1,0,1,1
83,23,1,4,26,83,1,1,1,0,1,1,1
72,20,0,5,92,15,1,0,0,1,1,0,1
57,1,0,2,62,84,0,0,1,1,1,0,1
91,70,1,4,0,79,1,0,0,1,1,0,1
99,68,0,3,91,14,1,0,1,0,1,1,1
59,42,0,5,71,19,1,0,0,1,1,1,1
50,99,1,2,45,50,0,0,1,0,0,0,1
69,22,0,4,51,24,1,0,1,1,1,0,1
86,30,1,3,52,0,0,0,0,0,0,0,1
67,38,0,5,69,87,1,0,1,1,0,1,1
70,75,0,1,11,40,0,0,1,1,0,0,1
98,52,1,4,65,52,0,0,0,0,1,1,0
53,98,0,1,50,26,0,0,0,0,0,1,0
92,67,0,5,84,91,0,1,0,0,1,1,1
51,64,1,4,95,42,1,1,1,0,0,1,1
70,6,1,5,29,99,0,0,0,1,0,0,1
86,33,0,2,61,36,0,0,0,0,1,0,1
54,29,1,1,8,71,1,0,1,0,1,0,1
66,85,1,1,96,63,0,1,1,1,1,0,1
98,14,0,3,27,75,1,1,0,1,1,0,1
97,52,0,5,32,59,0,1,0,0,1,0,1
60,86,1,5,45,29,1,0,1,0,0,1,1
95,91,0,2,46,58,1,0,1,0,0,1,1
90,67,1,3,94,85,1,1,1,1,1,0,1
80,94,1,5,53,16,1,0,0,0,0,0,1
77,46,0,5,74,70,0,1,0,0,0,1,1
93,87,1,4,52,20,0,1,0,0,1,0,1
81,24,1,4,91,24,0,0,0,1,0,1,1
70,13,0,5,47,35,1,1,1,1,0,0,1
56,32,0,3,68,80,0,1,0,0,1,0,1
59,32,0,1,10,42,0,0,0,0,1,1,1
77,25,1,1,88,24,1,1,1,1,0,0,1
97,73,0,4,43,47,0,0,0,1,1,1,1
85,17,0,3,0,27,1,0,1,1,1,0,1
69,23,0,4,53,5,1,0,0,1,0,0,1
62,35,0,5,25,95,1,1,0,0,0,1,1
68,35,0,4,4,25,1,1,1,1,1,1,1
99,34,1,1,6,71,1,0,1,0,1,0,1
60,84,1,3,26,96,0,1,1,0,0,1,1
84,69,1,1,5,25,1,1,1,0,1,1,1
83,20,0,4,95,22,1,1,1,0,0,0,1
93,6,1,3,48,15,1,0,1,0,0,1,1
53,8,0,4,52,47,0,0,0,1,1,0,1
62,0,1,2,42,15,1,1,0,0,0,1,1
86,61,0,5,58,47,0,1,0,0,1,1,1
51,89,1,5,16,42,1,1,1,1,0,0,1
99,71,0,5,58,50,1,0,0,1,1,0,1
50,73,1,3,18,88,0,0,0,0,0,0,0
89,6,0,4,63,13,0,1,1,1,1,0,1
74,93,1,3,62,23,1,1,0,1,1,0,1
86,69,0,1,9,57,1,1,1,0,0,1,1
85,36,1,2,41,49,0,1,0,0,0,1,1
55,29,0,1,92,52,0,1,1,0,0,0,1
56,19,1,2,2,82,1,0,1,0,1,1,1
53,47,1,5,94,17,0,1,0,0,1,1,1
84,22,0,2,90,8,1,1,1,0,1,0,1
90,67,0,5,72,21,1,1,0,0,0,0,1
83,7,1,1,21,13,0,1,0,0,0,0,1
78,56,1,2,90,99,0,1,1,1,1,0,1
54,93,0,1,27,80,0,0,1,1,0,0,1
76,84,1,1,39,37,1,1,0,1,0,1,1
82,72,1,2,44,56,0,1,1,0,0,1,1
95,18,1,3,7,77,0,0,0,1,0,0,1
59,22,0,2,62,33,1,0,1,0,1,1,1
55,22,0,5,67,75,0,1,1,0,1,1,1
83,85,0,4,35,64,1,1,0,0,1,1,1
57,46,1,4,24,14,0,1,1,1,0,0,1
80,39,1,3,17,43,1,0,1,1,0,1,1
58,56,1,3,41,24,1,1,1,1,0,1,1
70,34,0,1,25,91,1,1,0,0,0,1,1
57,60,1,3,90,20,0,0,1,0,1,1,1
53,98,0,2,99,30,0,1,0,1,1,1,1
71,80,0,5,86,14,0,1,0,1,0,1,1
77,13,0,5,16,44,0,0,1,0,1,1,1
94,28,1,5,11,94,0,0,1,1,0,1,1
53,59,1,4,87,16,1,1,0,0,0,0,1
88,13,1,1,52,0,1,1,0,0,0,0,1
70,33,1,1,0,48,1,1,0,0,1,0,1
57,26,1,1,50,43,1,0,0,0,0,0,1
69,77,1,1,86,4,1,1,0,0,0,1,1
81,57,1,4,77,68,0,0,0,0,1,0,0
50,74,0,4,48,18,1,0,1,1,1,0,1
55,87,0,4,2,35,1,1,1,0,1,1,1
77,85,1,3,35,18,0,1,0,0,1,0,1
